"ICD-10-4","Geschlecht","Insgesamt","unter 1 Jahr","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95 und älter","unbekannt","year"
"T510","w","560","0","6","0","100","172","41","19","24","36","52","23","23","25","20","3","6","5","5","0","0","0","0","2001"
"T519","m","2791","2","10","3","204","600","230","172","206","246","283","250","184","139","136","68","34","12","10","0","2","0","0","2001"
"T519","w","1384","0","3","1","190","379","113","58","85","104","108","101","85","50","45","24","14","11","7","1","3","2","0","2001"
"F100","m","45098","2","14","9","1443","6404","3543","2495","3764","5564","6378","5022","3649","2180","2279","1297","617","281","112","28","13","2","2","2002"
"F100","w","18025","1","9","3","1289","3670","1449","829","1205","1823","2071","1738","1306","860","784","440","240","165","106","32","5","0","0","2002"
"F100","u","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2002"
"F101","m","7228","0","1","1","84","526","430","353","637","993","1069","966","723","446","498","264","140","69","20","4","3","0","1","2002"
"F101","w","2887","1","0","0","77","268","145","121","223","403","424","349","251","188","181","122","54","49","24","3","3","1","0","2002"
"F102","m","103077","1","0","1","20","539","1773","3485","9642","17820","22179","18674","12756","7074","5430","2373","948","277","65","14","1","2","3","2002"
"F102","w","31413","1","0","0","10","146","399","825","2226","4948","6484","5727","4070","2736","2062","1026","462","190","68","25","7","1","0","2002"
"F102","u","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2002"
"F103","m","36416","1","0","0","3","111","452","1086","3241","6597","8293","6768","4409","2250","1918","864","307","86","24","5","0","1","0","2002"
"F103","w","8928","0","0","0","0","32","90","203","604","1340","1858","1691","1107","849","616","305","145","59","20","8","1","0","0","2002"
"F104","m","14951","0","0","1","3","43","111","319","1015","2169","2925","2807","2052","1260","1138","642","300","104","41","12","9","0","0","2002"
"F104","w","3600","0","0","0","5","13","28","41","187","403","552","624","496","437","385","206","108","58","31","15","11","0","0","2002"
"F105","m","1880","0","0","0","0","31","54","61","150","285","364","286","264","105","134","83","31","20","10","2","0","0","0","2002"
"F105","w","643","0","0","0","5","23","18","23","35","73","101","98","88","57","56","31","18","8","5","1","3","0","0","2002"
"F106","m","2928","0","0","1","1","4","6","13","21","108","212","327","421","435","601","385","230","108","41","11","3","0","0","2002"
"F106","w","1077","0","0","0","0","3","3","3","10","38","77","118","150","147","203","116","115","58","29","6","1","0","0","2002"
"F107","m","2254","0","0","0","2","5","11","29","58","162","288","314","295","269","363","236","130","57","29","4","2","0","0","2002"
"F107","w","628","0","0","0","1","2","1","7","9","33","62","84","84","75","96","78","40","37","16","3","0","0","0","2002"
"F108","m","624","0","0","0","2","30","26","24","44","80","104","88","77","39","50","37","15","6","2","0","0","0","0","2002"
"F108","w","188","0","0","0","1","11","9","9","9","26","22","29","19","7","16","19","7","2","1","0","0","1","0","2002"
"F109","m","1850","0","1","35","5","68","109","152","152","226","279","178","174","97","83","73","22","74","9","73","4","36","0","2002"
"F109","w","585","0","0","13","10","32","30","40","32","85","67","74","43","47","19","24","11","22","4","21","0","11","0","2002"
"T510","m","1079","1","7","4","129","282","76","44","65","83","121","88","60","46","39","11","10","6","4","0","1","2","0","2002"
"T510","w","552","1","3","1","136","174","40","12","17","31","48","35","10","22","4","7","3","3","2","1","2","0","0","2002"
"T519","m","3496","3","7","4","265","737","332","175","238","317","366","322","236","169","155","94","42","19","11","3","1","0","0","2002"
"T519","w","1855","0","6","2","258","476","141","90","104","151","188","130","93","61","67","34","23","17","9","5","0","0","0","2002"
"F100","m","50396","3","7","15","1542","7305","3842","2751","3942","5739","7003","6015","4392","2555","2382","1634","698","382","136","38","10","4","1","2003"
"F100","w","20166","1","6","1","1317","3941","1764","918","1128","2071","2334","2045","1587","976","838","581","284","206","128","28","10","1","1","2003"
