GENESIS-Tabelle: Temporär
Steuereinnahmen: Bundesländer, Quartale, Steuerarten vor der;;;
Steuerverteilung;;;
Statistik über das Steueraufkommen;;;
Steuereinnahmen (Tsd. EUR);;;
;;;Steuerarten vor der Steuerverteilung
;;;Biersteuer
Bayern;2013;1. Quartal;29772
Bayern;2013;2. Quartal;38621
Bayern;2013;3. Quartal;43498
Bayern;2013;4. Quartal;35250
Bayern;2014;1. Quartal;32938
Bayern;2014;2. Quartal;36958
Bayern;2014;3. Quartal;47542
Bayern;2014;4. Quartal;37541
Bayern;2015;1. Quartal;32978
Bayern;2015;2. Quartal;39690
Bayern;2015;3. Quartal;46509
Bayern;2015;4. Quartal;38184
Bayern;2016;1. Quartal;33069
Bayern;2016;2. Quartal;40778
Bayern;2016;3. Quartal;...
Bayern;2016;4. Quartal;...
Berlin;1999;1. Quartal;4213
Berlin;1999;2. Quartal;4937
Berlin;1999;3. Quartal;5156
Berlin;1999;4. Quartal;4479
Berlin;2000;1. Quartal;3963
Berlin;2000;2. Quartal;3324
Berlin;2000;3. Quartal;4990
Berlin;2000;4. Quartal;5228
Berlin;2001;1. Quartal;3544
Berlin;2001;2. Quartal;4265
Berlin;2001;3. Quartal;4394
Berlin;2001;4. Quartal;3629
Berlin;2002;1. Quartal;3267
Berlin;2002;2. Quartal;3963
Berlin;2002;3. Quartal;4004
Berlin;2002;4. Quartal;3377
Berlin;2003;1. Quartal;3482
Berlin;2003;2. Quartal;5814
Berlin;2003;3. Quartal;6060
Berlin;2003;4. Quartal;5377
Berlin;2004;1. Quartal;4925
Berlin;2004;2. Quartal;5665
Berlin;2004;3. Quartal;6019
Berlin;2004;4. Quartal;5020
Berlin;2005;1. Quartal;4606
Berlin;2005;2. Quartal;5497
Berlin;2005;3. Quartal;5497
Berlin;2005;4. Quartal;4628
Berlin;2006;1. Quartal;3935
Berlin;2006;2. Quartal;4801
Berlin;2006;3. Quartal;5183
Berlin;2006;4. Quartal;4307
Berlin;2007;1. Quartal;3930
Berlin;2007;2. Quartal;4759
Berlin;2007;3. Quartal;4755
Berlin;2007;4. Quartal;4064
Berlin;2008;1. Quartal;4153
Berlin;2008;2. Quartal;4276
Berlin;2008;3. Quartal;4690
Berlin;2008;4. Quartal;3968
Berlin;2009;1. Quartal;3631
Berlin;2009;2. Quartal;4385
