GENESIS-Tabelle: Temporär
Allgemeinbildende Schulen: Absolventen/Abgänger;;;;;;;;;;;;;;
nach dem Schulabschluss - Schuljahr -;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;
Statistik der allgemein bildenden Schulen;;;;;;;;;;;;;;
Absolventen/Abgänger (Anzahl);;;;;;;;;;;;;;
;;;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss
;;;Insgesamt;Insgesamt;ohne Hauptschulabschluss;ohne Hauptschulabschluss;Hauptschulabschluss;Hauptschulabschluss;Realschulabschluss;Realschulabschluss;Fachhochschulreife;Fachhochschulreife;Allgemeine Hochschulreife;Allgemeine Hochschulreife
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich
2000;14;Freistaat Sachsen;60682;29743;7329;2476;6774;2477;30818;15488;0;0;15761;9302
2000;15;Sachsen-Anhalt;37876;18511;4704;1435;4297;1707;18878;9497;610;316;9387;5556
2000;16;Thüringen;35673;17682;4543;1623;6483;2407;14668;7632;0;0;9979;6020
1999;01;Schleswig-Holstein;27635;13511;2863;1006;9639;4343;8811;4731;450;252;5872;3179
1999;02;Hamburg;15138;7391;1767;679;3567;1569;4634;2323;263;132;4907;2688
1999;03;Niedersachsen;85481;41686;7966;2809;18804;7890;38332;19573;1736;1019;18643;10395
1999;04;Bremen;7029;3508;606;255;1427;655;2851;1479;14;6;2131;1113
1999;05;Nordrhein-Westfalen;195185;95956;11516;4287;44826;18773;81579;41869;4753;2539;52511;28488
1999;06;Hessen;63024;30944;6045;2337;14539;6366;25087;12780;850;469;16503;8992
1999;07;Rheinland-Pfalz;42533;20858;3932;1341;13570;5924;15253;8149;0;0;9778;5444
1999;08;Baden-Württemberg;113585;54996;8865;3431;37432;16320;43072;22537;207;108;24009;12600
1999;09;Bayern;130192;64053;11708;4219;49382;21652;44066;24722;52;31;24984;13429
1999;10;Saarland;10977;5230;1221;449;3209;1343;3938;2031;104;48;2505;1359
1999;11;Berlin;37769;18170;4939;1800;7820;3192;13305;6614;0;0;11705;6564
1999;12;Brandenburg;37907;18528;3262;941;7100;2557;16961;8722;0;0;10584;6308
1999;13;Mecklenburg-Vorpommern;28285;13890;2971;907;5966;2363;12779;6614;372;239;6197;3767
1999;14;Freistaat Sachsen;59389;29414;7052;2378;7046;2542;29248;14782;0;0;16043;9712
1999;15;Sachsen-Anhalt;37926;18798;4387;1411;4924;1982;18877;9496;437;252;9301;5657
1999;16;Thüringen;35525;17540;4661;1678;6463;2433;14554;7471;0;0;9847;5958
1998;01;Schleswig-Holstein;27416;13191;3030;1034;9692;4467;8713;4508;379;208;5602;2974
1998;02;Hamburg;15299;7392;1725;666;3693;1644;4913;2483;225;112;4743;2487
1998;03;Niedersachsen;83398;40447;8121;2896;18578;7744;37154;19201;1603;925;17942;9681
1998;04;Bremen;6702;3284;718;279;1619;747;2278;1149;16;7;2071;1102
1998;05;Nordrhein-Westfalen;190088;92874;11482;4094;44127;18618;80139;41104;4307;2244;50033;26814
1998;06;Hessen;62017;30358;5422;1946;15164;6615;24856;12888;656;345;15919;8564
1998;07;Rheinland-Pfalz;42581;20723;4129;1418;13994;6149;15362;8219;0;0;9096;4937
1998;08;Baden-Württemberg;112508;54311;8808;3352;37689;16638;43391;22572;146;78;22474;11671
1998;09;Bayern;130046;63374;12418;4540;49995;21874;43828;24320;41;23;23764;12617
1998;10;Saarland;10717;5153;1182;414;3277;1376;3785;2006;86;51;2387;1306
1998;11;Berlin;36825;17832;4980;1836;7243;2992;13073;6594;302;181;11227;6229
1998;12;Brandenburg;36984;18078;3242;914;6953;2456;16254;8389;83;42;10452;6277
1998;13;Mecklenburg-Vorpommern;28222;13931;2756;868;5681;2143;13035;6840;338;217;6412;3863
1998;14;Freistaat Sachsen;58566;28970;6093;1956;7451;2738;29433;14726;0;0;15589;9550
1998;15;Sachsen-Anhalt;38690;18840;4279;1321;5338;2066;19306;9604;401;227;9366;5622
1998;16;Thüringen;34817;16983;4588;1581;6496;2295;13995;7283;0;0;9738;5824
1997;01;Schleswig-Holstein;26917;13113;2813;1027;9546;4436;8337;4381;363;189;5858;3080
1997;02;Hamburg;15277;7576;1767;713;3508;1587;4737;2441;216;96;5049;2739
1997;03;Niedersachsen;83122;40506;8442;2985;18410;7757;36579;19145;1143;624;18548;9995
1997;04;Bremen;6468;3164;578;225;1577;702;2202;1122;9;3;2102;1112
1997;05;Nordrhein-Westfalen;187759;91948;11485;4182;44073;18696;77605;40016;3854;2106;50742;26948
1997;06;Hessen;61688;30230;5620;2023;15161;6596;24448;12749;136;67;16323;8795
1997;07;Rheinland-Pfalz;41164;20118;3908;1358;13791;6153;14139;7519;0;0;9326;5088
1997;08;Baden-Württemberg;110016;52850;8875;3351;36833;16174;42327;21942;170;80;21811;11303
1997;09;Bayern;126779;61412;11574;4151;50450;22093;41338;22935;0;0;23417;12233
1997;10;Saarland;10474;4995;1141;392;3379;1482;3547;1887;89;48;2318;1186
1997;11;Berlin;36126;17706;4455;1597;7143;3014;12825;6528;374;210;11329;6357
1997;12;Brandenburg;36535;17881;3104;848;6561;2280;16471;8543;0;0;10399;6210
1997;13;Mecklenburg-Vorpommern;29159;14256;2697;777;5837;2171;13632;7057;265;156;6728;4095
1997;14;Freistaat Sachsen;61810;30637;5856;1817;8116;2931;31065;15623;0;0;16773;10266
1997;15;Sachsen-Anhalt;39459;19124;3982;1215;6100;2353;19442;9713;416;233;9519;5610
1997;16;Thüringen;33681;16584;4189;1413;6642;2461;13898;7242;0;0;8952;5468
1996;01;Schleswig-Holstein;26088;12747;2570;960;9371;4358;8094;4184;363;211;5690;3034
1996;02;Hamburg;15079;7326;1705;702;3504;1571;4602;2342;200;110;5068;2601
1996;03;Niedersachsen;80737;39097;8137;2913;18454;7872;34498;17604;1116;631;18532;10077
1996;04;Bremen;6432;3117;679;262;1579;641;2110;1114;26;16;2038;1084
1996;05;Nordrhein-Westfalen;181301;89187;10616;3797;42341;18434;74860;38797;3748;1974;49736;26185
1996;06;Hessen;60574;29659;5821;2147;14722;6429;23667;12385;163;90;16201;8608
1996;07;Rheinland-Pfalz;40523;19878;3873;1346;14513;6591;13116;7055;0;0;9021;4886
1996;08;Baden-Württemberg;106547;51898;8956;3484;36469;16324;39416;20564;158;76;21548;11450
1996;09;Bayern;124853;.;10401;3797;51686;22634;39572;22125;0;0;23194;12143
1996;10;Saarland;10511;5129;1181;438;3557;1596;3437;1865;59;31;2277;1199
1996;11;Berlin;34678;17220;4075;1509;6450;2824;12685;6583;416;226;11052;6078
1996;12;Brandenburg;35310;17247;3092;829;6587;2316;16287;8563;99;56;9245;5483
1996;13;Mecklenburg-Vorpommern;29465;14619;2801;841;5746;2139;14140;7495;267;160;6511;3984
1996;14;Freistaat Sachsen;61105;29851;5975;1786;6821;2379;31675;15503;0;0;16634;10183
1996;15;Sachsen-Anhalt;38424;19003;3978;1172;5567;2152;18892;9595;333;171;9654;5913
1996;16;Thüringen;33893;16367;4225;1483;6871;2465;13830;7012;0;0;8967;5407
1995;01;Schleswig-Holstein;25393;12189;2511;895;9191;4264;7606;3890;379;210;5706;2930
1995;02;Hamburg;14818;7283;1467;590;3398;1528;4714;2386;147;86;5092;2693
1995;03;Niedersachsen;78446;37933;7949;2823;17779;7659;33634;17186;1111;636;17973;9629
1995;04;Bremen;6294;3082;629;244;1406;725;2081;1049;118;8;2060;1056
1995;05;Nordrhein-Westfalen;177819;86694;10629;3857;41920;17920;72516;37270;3962;2048;48792;25599
1995;06;Hessen;59062;28967;5355;1951;14933;6570;22778;11865;152;69;15844;8512
1995;07;Rheinland-Pfalz;39075;18967;3734;1244;13793;6198;12761;6794;0;0;8787;4731
1995;08;Baden-Württemberg;100100;48563;8883;3469;34897;15659;35031;18219;182;90;21107;11126
1995;09;Bayern;119016;.;9585;3450;49773;22136;37355;20815;0;0;22303;11438
1995;10;Saarland;10654;5179;1043;398;3618;1651;3610;1925;87;45;2296;1160
1995;11;Berlin;33570;16478;4350;1620;6330;2729;11973;6144;423;206;10494;5779
1995;12;Brandenburg;32920;15691;3036;814;6560;2241;15766;8184;0;0;7558;4452
1995;13;Mecklenburg-Vorpommern;27555;13642;2857;801;4893;1815;13321;7016;47;27;6437;3983
1995;14;Freistaat Sachsen;58909;28419;6286;2012;6909;2401;30340;14691;0;0;15374;9315
1995;15;Sachsen-Anhalt;37782;18424;3828;1116;5707;2239;18735;9394;441;237;9071;5438
1995;16;Thüringen;33764;16833;3861;1362;6868;2556;14639;7755;0;0;8396;5160
_____
zu 'gesamte Tabelle':
Berlin: Kreistabelle liegt auch für Bezirke vor
Nordrhein-Westfalen, Saarland: Kreistabelle liegt auch für
Gemeinden vor
"In der Regel am Ende des Schuljahres;"
Baden-Württemberg (Berichtsjahr 1995-2010): Gebietsstand
01.01.1979
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Berlin (1995 bis 2000): bezogen auf den Gebietsstand
01.01.2001
Berlin (bis 2000): ohne Schüler, die auf eine andere Schul-
art überwechseln und damit im allgemein bildenden Schulwesen
verbleiben
Deutschland: mit Schulfremdenprüfung
Deutschland (2007): das Bundesergebnis enthält das Landes-
ergebnis Hessens aus dem Jahr 2006
Mecklenburg-Vorpommern (bis 2000): ohne Abendgymnasien
Hessen (2007): Es liegen keine Ergebnisse vor, da die Daten
der Absolventen/Schulentlassenen der Landesschulstatistik
2007/2008 aus dem hessischen Schulverwaltungsprogramm
quantitativ wie qualitativ nicht verwertbar waren.

zu 'Absolventen/Abgänger insgesamt (einschl. Fachhochschul-
reife)':
Bayern (bis 1998): einschl. Schulentlassener aus mindestens
dreistufigen Wirtschaftsschulen
Bayern (ab 1999): einschl. Schulentlassener aus Wirtschafts-
schulen
Berlin (1995, 1996): einschl. Abgänger des Zweiten Bildungs-
weges mit Fachhochschulreife, die nur an beruflichen Schulen
und Volkshochschulen erworben werden kann
Berlin (1997, 1998): einschl. Abgänger des Zweiten Bildungs-
weges mit Fachhochschulreife, die nur an beruflichen Schulen
erworben werden kann
Berlin (ab 1999): ohne Abgänger mit Fachhochschulreife, die
nur an beruflichen Schulen erworben werden kann
Niedersachsen (Schuljahr 2003/2004): einschl. Übergänger auf
gymnasiale Oberstufe (Mehrfachzählung)
Nordrhein-Westfalen (bis Schuljahr 2005/06): einschl. Schul-
entlassener aus dem berufsbildenden Bereich an freien
Waldorfschulen
Bayern: einschließlich Schulentlassener aus Wirtschafts-
schulen ab

zu 'Absolventen/Abgänger ohne Hauptschulabschluss':
Berlin (1995, 1996): einschl. Vorbereitungsklassen für aus-
ländische Schüler der Mittelstufe und Ausländer-Förder-
klassen sowie Eingliederungslehrgänge für ausländische
Jugendliche
Berlin (1997, 1998): einschl. Förderklassen für Schüler
nichtdeutscher Herkunftssprache in der Mittelstufe sowie
Eingliederungslehrgänge für ausländische Jugendliche
Berlin (ab 1999): einschl. Förderklassen für Schüler nicht-
deutscher Herkunftssprache in der Mittelstufe
Berlin (ab Schuljahr 2003/04): einschl. Abgänger, die das
10. Jahr der allgemeinen Schulpflicht in Lehrgängen mit
Berufsvorbereitung absolvieren (BB10/BV10 Lehrgänge, welche
bis 2006/2007 an beruflichen Schulen angeboten werden)
Thüringen (1995 - 2002): einschl. Schulabgängern der
Klassenstufen 10 bis 13

zu 'Absolventen/Abgänger mit Hauptschulabschluss':
Berlin (ab Schuljahr 2003/04): einschl. Absolventen von
BB10/BV10 Lehrgängen, welche bis 2006/2007 an beruflichen
Schulen angeboten werden

zu 'Absolventen/Abgänger mit Realschulabschluss':
Berlin (1999, 2000): Schulabgänger, die in Fachgymnasien
"gewechselt sind, z.T. geschätzt; auf Bezirksebene erfolgt"
keine Schätzung, das Landesergebnis für Berlin entspricht
somit nicht der Summe der Bezirke
Niedersachsen (Schuljahr 2003/2004): einschl. Übergänger der
Gymnasien und Gesamtschulen in die gymnasiale Oberstufe
(Mehrfachzählung)

zu 'Absolventen/Abgänger mit Fachhochschulreife':
Berlin, Sachsen: Eine Fachhochschulreife kann nur an
beruflichen Schulen erworben werden.
Hessen, Niedersachens: schulischer Teil der Fachhochschul-
reife
Hessen (ab 2013): ohne schulischen Teil der Fachhochschul-
reife
Rheinland-Pfalz: einschließlich schulischer Teil der Fach-
hochschulreife
Nordrhein-Westfalen: Ab 2012/13 ohne Schülerinnen und
Schüler, die ausschließlich den schulischen Teil der Fach-
hochschulreife erlangt haben.

zu 'Absolventen/Abgänger mit allg. Hochschulreife (ohne
Fachhochschulreife)':
Mecklenburg-Vorpommern, Sachsen-Anhalt (2001): Einführung
der 13. Jahrgangsstufe
Sachsen-Anhalt (2007): Doppelabiturjahrgang (12. und 13.
Jahrgangsstufe) wegen Wiedereinführung des achtjährigen
Gymnasiums
_____
(C)opyright Dieses Angebot der Statistischen Ämter des Bundes und der
Länder ist lizensiert unter der Datenlizenz Deutschland -
Namensnennung - Version 2.0. Düsseldorf, 2016.
Stand: 05.11.2016 / 14:59:37
