GENESIS-Tabelle: Temporär
Allgemeinbildende Schulen: Absolventen/Abgänger;;;;;;;;;;;;;;
nach dem Schulabschluss - Schuljahr -;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;
Statistik der allgemein bildenden Schulen;;;;;;;;;;;;;;
Absolventen/Abgänger (Anzahl);;;;;;;;;;;;;;
;;;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss
;;;Insgesamt;Insgesamt;ohne Hauptschulabschluss;ohne Hauptschulabschluss;Hauptschulabschluss;Hauptschulabschluss;Realschulabschluss;Realschulabschluss;Fachhochschulreife;Fachhochschulreife;Allgemeine Hochschulreife;Allgemeine Hochschulreife
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich
2011;09;Bayern;168713;84605;6983;2669;33346;13981;59526;30667;12;6;68846;37282
2011;10;Saarland;9630;4764;487;188;2583;1118;3365;1697;109;51;3086;1710
2011;11;Berlin;28260;13905;2487;1025;5355;2382;8603;4083;0;0;11815;6415
2011;12;Brandenburg;16419;8076;1411;549;2764;1043;5555;2809;0;0;6689;3675
2011;13;Mecklenburg-Vorpommern;9452;4520;1345;525;1043;430;3678;1739;294;158;3092;1668
2011;14;Freistaat Sachsen;22417;10848;2259;863;2410;949;11079;5386;0;0;6669;3650
2011;15;Sachsen-Anhalt;14058;6724;1738;675;1910;763;6120;2898;366;186;3924;2202
2011;16;Thüringen;13259;6457;1157;455;2000;818;5821;2825;0;0;4281;2359
2010;01;Schleswig-Holstein;31308;15279;2202;854;8151;3491;11030;5533;538;283;9387;5118
2010;02;Hamburg;20270;10404;1224;516;2516;1089;3864;1871;547;289;12119;6639
2010;03;Niedersachsen;87323;42369;5218;1931;14462;5742;41347;19953;1346;727;24950;14016
2010;04;Bremen;7477;3745;370;141;1674;768;2748;1370;11;7;2674;1459
2010;05;Nordrhein-Westfalen;216136;107679;11982;4841;38685;16357;87742;43194;7625;3928;70102;39359
2010;06;Hessen;66276;32776;3863;1507;13210;5612;27973;13803;1257;677;19973;11177
2010;07;Rheinland-Pfalz;44369;22139;2565;936;9163;3796;18246;9189;713;410;13682;7808
2010;08;Baden-Württemberg;122716;60317;6245;2447;31999;13956;50150;25014;313;149;34009;18751
2010;09;Bayern;137416;67954;7579;2879;34608;14601;59505;30993;36;21;35688;19460
2010;10;Saarland;9841;4868;566;223;2703;1176;3392;1701;102;53;3078;1715
2010;11;Berlin;29879;14720;2730;1119;5969;2636;8884;4209;0;0;12296;6756
2010;12;Brandenburg;19935;10149;1629;590;2832;1136;6110;3057;42;15;9322;5351
2010;13;Mecklenburg-Vorpommern;10486;5103;1434;556;1188;495;3870;1914;328;174;3666;1964
2010;14;Freistaat Sachsen;23938;11702;2341;929;2341;931;12034;5906;0;0;7222;3936
2010;15;Sachsen-Anhalt;15021;7406;1844;743;2177;889;6315;3138;453;240;4232;2396
2010;16;Thüringen;14836;7308;1266;495;2141;902;5979;2914;0;0;5450;2997
2009;01;Schleswig-Holstein;31983;15651;2225;854;8962;3865;11777;5977;539;287;8480;4668
2009;02;Hamburg;15365;7713;1213;516;2716;1159;4166;2072;423;231;6847;3735
2009;03;Niedersachsen;85963;41918;5556;2089;15028;6156;41793;20224;1050;536;22536;12913
2009;04;Bremen;7754;3837;463;192;1442;652;3297;1592;17;7;2535;1394
2009;05;Nordrhein-Westfalen;219075;109226;13392;5365;41657;17921;89137;44687;7596;3938;67293;37315
2009;06;Hessen;67573;33780;4464;1880;13846;5907;29009;14524;1276;661;18978;10808
2009;07;Rheinland-Pfalz;45768;22807;3076;1136;10250;4343;18570;9492;812;444;13060;7392
2009;08;Baden-Württemberg;125448;61598;6789;2741;34627;15046;50638;25498;365;184;33029;18129
2009;09;Bayern;138339;68551;8187;3117;36356;15535;60295;31524;46;28;33455;18347
2009;10;Saarland;13283;6734;710;266;3026;1369;3563;1744;106;58;5878;3297
2009;11;Berlin;31357;15797;2777;1139;6008;2751;9598;4740;0;0;12974;7167
2009;12;Brandenburg;23396;12038;1938;691;3539;1444;6035;3042;0;0;11884;6861
2009;13;Mecklenburg-Vorpommern;13009;6498;1617;617;1366;619;4377;2154;412;216;5237;2892
2009;14;Freistaat Sachsen;30967;15442;2690;1045;2643;1066;13516;6652;0;0;12118;6679
2009;15;Sachsen-Anhalt;18505;9136;1982;715;2422;955;7044;3468;568;300;6489;3698
2009;16;Thüringen;17758;8996;1275;486;2193;891;6808;3391;0;0;7482;4228
2008;01;Schleswig-Holstein;31289;15292;2690;1016;8748;3833;11425;5829;500;265;7926;4349
2008;02;Hamburg;16179;7938;1349;551;3373;1460;4740;2230;325;174;6392;3523
2008;03;Niedersachsen;90114;43767;6780;2609;17334;7219;43869;21404;1210;664;20921;11871
2008;04;Bremen;7864;3887;530;219;1427;590;3317;1634;16;10;2574;1430
2008;05;Nordrhein-Westfalen;223445;111665;14296;5681;45013;19295;90923;45784;7918;4279;65295;36626
2008;06;Hessen;66348;32890;4478;1821;14481;6263;27491;13591;1507;843;18391;10372
2008;07;Rheinland-Pfalz;46744;23038;3342;1322;11405;4714;18484;9348;782;413;12731;7241
2008;08;Baden-Württemberg;125633;61125;6879;2689;37525;16321;49250;24510;306;156;31673;17449
2008;09;Bayern;142722;70222;9043;3348;40597;17460;61259;32114;36;22;31787;17278
2008;10;Saarland;11025;5398;760;295;3333;1434;3741;1895;168;88;3023;1686
2008;11;Berlin;32953;16308;3127;1240;6835;3060;9872;4750;0;0;13119;7258
2008;12;Brandenburg;25476;12811;2448;857;3552;1389;8538;4197;42;14;10896;6354
